Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","47767","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","25543.79","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","66916","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","1298211.07","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","4108042","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","226704.33","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","597818","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","217713.62","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","271752","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","377.21","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","441","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","63544.55","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","89933","A","Official figure",""
"TCL","Crops and livestock products","174","Comoros","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","13415.68","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","174","Comoros","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","23136","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","178","Congo","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","152771","A","Official figure",""
"TCL","Crops and livestock products","178","Congo","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","186511","A","Official figure",""
"TCL","Crops and livestock products","178","Congo","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","75","A","Official figure",""
"TCL","Crops and livestock products","178","Congo","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","137","A","Official figure",""
"TCL","Crops and livestock products","184","Cook Islands","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","1209.86","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","184","Cook Islands","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","2399","X","Figure from external organization","Estimated data using trading partners database"
